IND
570
8191
6180
9480
7190
2870
8290
7870
6370
7590
9160
2670
770
7860
7970
9570
5392
8570
7880
3570
1870
8680
6170
6992
8370
3490
9470
8980
7460
7290
7770
180
5171
6881
7490
6991
6680
3580
4971
8090
4973
8780
7890
6070
7690
4270
7380
8590
6871
5571
580
8990
5090
8180
6380
7390
4871
1190
1370
4560
8270
8770
2570
9370
9170
1180
6890
4480
7071
2380
9590
4580
5071
8080
6970
5791
5491
7780
7680
4470
8970
7790
7080
5382
5581
2880
7480
8790
1090
3790
4771
4570
3680
1070
1890
3291
7270
9090
5081
2770
2290
370
380
7980
3470
6690
9670
8470
8660
9080
3390
9070
7580
3960
6471
9380
4670
8891
4490
1990
6080
4691
2980
5371
3670
3380
2170
8564
6290
3990
4265
9770
4891
3895
1590
290
4590
7280
8380
6770
5276
4796
3180
1570
8192
8690
4981
7470
6280
8170
4090
170
2370
7670
3780
4380
2970
2480
3690
6781
9680
4881
7990
3980
6671
4070
7072
6490
2690
5471
9290
6390
3770
670
5191
8870
6570
9780
4585
1880
1691
2680
5481
4290
4681
8390
3875
2070
470
6190
4280
2190
7370
490
270
9180
3590
5281
3370
680
6481
690
8562
9190
6695
1280
6270
5680
8070
190
4195
1170
4991
6590
4170
9490
1270
590
7570
4080
9390
3970
8670
2890
9790
4370
3365
2590
1480
1790
4390
8563
280
3080
9690
2270
5296
2090
2180
7181
8561
2490
1390
2390
2780
1080
1470
4180
3070
3170
6090
2470
5181
8580
2790
1670
9870
1490
2990
390
2280
1290
3095
1770
