OCC
8990
5740
9141
1010
7240
8140
3500
735
2205
5550
5860
2050
2040
5250
440
230
3090
5400
9645
800
2640
2435
9600
7750
4030
9130
2016
3602
7700
3870
4510
9030
5240
4525
4230
5000
4251
4210
2545
3740
3258
120
4965
2310
4220
810
6200
4840
2105
8740
1825
4720
9610
300
1021
2360
3255
6260
1050
310
1108
710
3930
51
705
5120
7315
4700
8630
3603
6410
3401
2555
5510
4110
7640
2751
3150
5630
7800
8640
4850
7150
1430
2014
5522
4760
4810
910
4920
3300
7260
52
137
1530
3640
4200
4020
2320
140
1320
2910
7210
160
2002
5310
6442
565
6250
6220
2600
4740
6400
5610
4500
750
3720
7810
10
4120
4140
6230
3645
4600
3960
2825
5940
5540
4010
8030
7330
5710
9121
6515
8225
7140
5110
8810
1980
9005
2100
4350
6355
9620
3725
3310
410
1920
7950
4465
5600
650
2145
3655
540
2810
1007
7200
726
4435
6530
4655
9760
20
9210
2001
1022
4130
6305
1350
4255
5140
8800
2755
1551
530
5260
7340
3421
7410
350
7720
220
5521
9830
1460
1410
8720
3422
3945
8320
1640
3550
7020
3630
1400
5320
3050
1105
3802
1006
630
3245
9825
5330
4000
6730
1031
9310
3750
3323
5530
205
3648
1450
4830
60
960
2170
4710
2330
700
2025
820
1560
7220
2004
150
2300
8600
4055
1970
7420
5360
850
2861
8530
3545
1360
3515
2905
3120
6520
2633
1555
8100
8730
3423
110
4750
6710
5840
4150
2060
2830
6330
3000
3402
1545
2006
3620
4040
3330
1420
2710
340
640
3220
8500
4521
1240
7120
7430
6050
9430
8255
7040
3700
8540
3424
3710
845
5420
9640
3647
5230
8950
7905
8610
2400
420
101
600
3010
6850
3160
1822
860
5160
8025
2752
4621
5040
1305
9122
4522
3030
1310
1065
7000
3601
2722
6005
520
3250
5810
5350
2350
9810
9510
5100
1650
2805
7610
102
9800
5150
3100
7130
2440
4640
2840
830
1700
940
1220
2011
6360
3322
4622
5010
136
3820
1032
7510
2723
7855
3801
500
2634
4530
4340
6130
9365
2012
7360
5220
7830
2862
5410
9142
7160
1720
7320
3910
2015
1600
4820
1745
6040
3040
3256
1760
9630
5900
1610
3110
3646
2740
4160
930
8040
5020
6740
7010
8130
6441
2850
4240
1860
3324
6660
725
4540
900
3605
3230
2635
2180
1710
8300
8710
2865
5560
6765
3140
2721
1340
2636
5730
4420
4900
4252
1541
1821
5850
2632
8930
9650
6120
3649
7350
8365
8465
9570
8760
5165
5500
3610
9300
9415
9150
1106
6720
9265
8350
1440
335
4461
6700
5820
1200
8750
2920
3430
8620
7030
6825
2013
4330
8650
7740
6240
1750
5920
425
6460
2005
5300
7925
7840
7540
40
7850
5720
6115
6950
3321
4800
9350
4950
6600
8000
8940
9040
3200
4930
8250
9720
8910
9240
3940
510
4400
8310
7100
360
3520
3946
8450
1935
2770
9410
1900
8555
4940
2631
8850
1910
1306
5910
8256
1005
9050
7560
8510
6835
6010
8920
7730
1800
2003
8830
3900
1840
1520
6800
3261
2700
3270
135
7300
6540
3210
6210
5340
3840
8335
9110
